anime,anime_url,anime_img,episodes,votes,weight,rate,rate_1,rate_2,rate_3,rate_4,rate_5,genre_action,genre_adventure,genre_comedy,genre_drama,genre_family,genre_fantasy,genre_food,genre_harem,genre_historical,genre_horror,genre_idols,genre_isekai,genre_jdrama,genre_magical girls,genre_martial arts,genre_mecha,genre_music,genre_mystery,genre_post-apocalyptic,genre_romance,genre_sci-fi,genre_seinen,genre_sgdrama,genre_shojo,genre_shonen,genre_slice of life,genre_sports,genre_supernatural,genre_thriller
Natsume Yuujinchou,https://www.crunchyroll.com/natsume-yujin-cho,https://img1.ak.crunchyroll.com/i/spire1/3b7183aa0e0b39430cd4f294ab4a9f231327959666_full.jpg,39,5158,25208,4.89,24,7,58,349,4720,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Myself; Yourself,https://www.crunchyroll.com/myself-yourself,https://img1.ak.crunchyroll.com/i/spire3/ce637f84d074ecb1d1a7d65ff85464f21273802656_full.jpg,0,4588,22000,4.8,47,24,120,440,3957,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Blue Exorcist,https://www.crunchyroll.com/blue-exorcist,https://img1.ak.crunchyroll.com/i/spire1/e0c8a39fa014e57a95ef3682a4cc61d31483733959_full.jpg,12,4498,21661,4.82,21,18,96,499,3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durarara!!,https://www.crunchyroll.com/durarara,https://img1.ak.crunchyroll.com/i/spire4/4e653adda1d5c4622bd496dc10cacf211451958742_full.jpg,62,4042,19606,4.85,13,9,53,419,3548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Time of Eve,https://www.crunchyroll.com/time-of-eve,https://img1.ak.crunchyroll.com/i/spire2/afbe92137e5717d72f8f0ec9a9dca9321423792090_full.jpg,6,3864,18819,4.87,24,9,42,294,3495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tegami Bachi Letter Bee,https://www.crunchyroll.com/tegami-bachi-letter-bee,https://img1.ak.crunchyroll.com/i/spire1/beef79da8c22ef118f47afa068143cf21529088431_full.jpg,0,3593,17363,4.83,6,11,75,395,3106,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
School Days,https://www.crunchyroll.com/school-days,https://img1.ak.crunchyroll.com/i/spire1/ee4f69cccf34b06057eb7d3ae48f57191345364926_full.jpg,0,3484,14390,4.13,371,120,271,644,2078,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sword Art Online,https://www.crunchyroll.com/sword-art-online,https://img1.ak.crunchyroll.com/i/spire1/1695b24f123889418228be89e00b9a0d1570828158_full.jpg,89,3458,15226,4.4,163,153,284,385,2473,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The World God Only Knows,https://www.crunchyroll.com/the-world-god-only-knows,https://img1.ak.crunchyroll.com/i/spire3/4462386a1d99869f81bcc2cf3effc7671375831867_full.jpg,36,3443,16430,4.77,13,18,97,485,2830,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demon King Daimao,https://www.crunchyroll.com/demon-king-daimao,https://img1.ak.crunchyroll.com/i/spire4/d876e77fc48e04830e37083c768453cf1279145332_full.jpg,0,3420,16148,4.72,30,26,125,504,2735,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neo Angelique Abyss,https://www.crunchyroll.com/neo-angelique-abyss,https://img1.ak.crunchyroll.com/i/spire4/a2fa03b20ae43176088bddfbbd60ae901279148471_full.jpg,0,3258,15470,4.75,43,24,121,334,2736,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Happiness!,https://www.crunchyroll.com/happiness,https://img1.ak.crunchyroll.com/i/spire3/2ccca23700d511a033d047ca0ae037ec1279142545_full.jpg,0,3069,14529,4.73,52,17,92,373,2535,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linebarrels of Iron,https://www.crunchyroll.com/linebarrels-of-iron,https://img1.ak.crunchyroll.com/i/spire1/7693af688a4ecab8da7f349ffa7d25691279142985_full.jpg,0,3026,13850,4.58,145,25,130,365,2361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beelzebub,https://www.crunchyroll.com/beelzebub,https://img1.ak.crunchyroll.com/i/spire3/be709d61c2952bd6f73cbcf949b8e8931293503784_full.jpg,0,2928,14027,4.79,11,18,80,355,2464,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nogizaka Haruka no Himitsu,https://www.crunchyroll.com/nogizaka-haruka-no-himitsu,https://img1.ak.crunchyroll.com/i/spire3/c50f5b571000791ccac45e802c28f5471281738341_full.jpg,0,2504,12133,4.85,24,7,39,192,2242,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chi's Sweet Home - Chi's New Address,https://www.crunchyroll.com/chis-sweet-home-chis-new-address,https://img1.ak.crunchyroll.com/i/spire2/0c9da2e3085a7acb7207ffb47785ea241279145339_full.jpg,0,2467,11947,4.84,30,8,31,182,2216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hanasakeru Seishonen,https://www.crunchyroll.com/hanasakeru-seishonen,https://img1.ak.crunchyroll.com/i/spire4/cd62441dec5884c39a8fd5567453e4ad1377640989_full.jpg,0,2461,11829,4.81,21,11,52,255,2122,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saki,https://www.crunchyroll.com/saki,https://img1.ak.crunchyroll.com/i/spire4/d9f5e51c6ce7a1c3c36cd0728596d2dc1389320768_full.jpg,38,2367,11134,4.7,29,19,80,368,1871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Slam Dunk,https://www.crunchyroll.com/slam-dunk,https://img1.ak.crunchyroll.com/i/spire4/f26a43ba646fa169a232726fe578d0cd1279145968_full.jpg,0,2351,11039,4.7,96,14,73,144,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
The Tower of DRUAGA -the Aegis of URUK-,https://www.crunchyroll.com/the-tower-of-druaga-the-aegis-of-uruk-,https://img1.ak.crunchyroll.com/i/spire1/f9b8ee91d8312ed2f603b5ce2c9864651279143586_full.jpg,0,2247,10678,4.75,41,15,50,248,1893,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter x Hunter,https://www.crunchyroll.com/hunter-x-hunter,https://img1.ak.crunchyroll.com/i/spire3/cbb55a6382682bf71e91f685c6473c5a1487736090_full.jpg,148,2244,10873,4.85,21,13,51,122,2037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11eyes,https://www.crunchyroll.com/11eyes,https://img1.ak.crunchyroll.com/i/spire2/1b95d5f8110840d5b1ab4c93a669d1641423696225_full.jpg,0,2137,9790,4.58,43,42,111,375,1566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attack on Titan,https://www.crunchyroll.com/attack-on-titan,https://img1.ak.crunchyroll.com/i/spire1/13b484b48acc14537703fbc505b087121558560482_full.jpg,60,2014,9533,4.73,43,32,56,157,1726,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Koihime Musou,https://www.crunchyroll.com/koihime-musou,https://img1.ak.crunchyroll.com/i/spire4/84dd3c515706a4327d702a251fe49fce1279144317_full.jpg,0,1979,9406,4.75,28,11,56,232,1652,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Clover,https://www.crunchyroll.com/black-clover,https://img1.ak.crunchyroll.com/i/spire2/1a39d39cbe3346cce5e44577cbb895041579741401_full.jpg,127,1941,7446,3.84,288,173,147,294,1039,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
H2O: Footprints in the Sand,https://www.crunchyroll.com/h2o-footprints-in-the-sand,https://img1.ak.crunchyroll.com/i/spire2/43e53321a8781400c87245a397894b021289442503_full.jpg,0,1889,9017,4.77,27,15,49,177,1621,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BLASSREITER,https://www.crunchyroll.com/blassreiter,https://img1.ak.crunchyroll.com/i/spire4/c4b257b8b59b571badc7d4a9cda33c511519930182_full.jpg,0,1869,8661,4.63,67,25,64,213,1500,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Another,https://www.crunchyroll.com/another,https://img1.ak.crunchyroll.com/i/spire1/6a63d28dc4193210a69c83f1fca67bf21325886769_full.jpg,12,1859,8750,4.71,21,16,64,285,1473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glass Mask,https://www.crunchyroll.com/glass-mask,https://img1.ak.crunchyroll.com/i/spire4/bd41592934a765aae9a2fcde70d9ceeb1423783807_full.jpg,0,1709,8271,4.84,21,9,22,119,1538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Tower of DRUAGA -the Sword of URUK-,https://www.crunchyroll.com/the-tower-of-druaga-the-sword-of-uruk-,https://img1.ak.crunchyroll.com/i/spire2/9f83cdc6c90b81fa0c3c9943f74171dd1279145290_full.jpg,0,1645,7750,4.71,31,9,59,206,1340,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Centímetros por Segundo,https://www.crunchyroll.com/5-centimeters-per-second,https://img1.ak.crunchyroll.com/i/spire4/db2c5206881d37ff23f027988e1116091362702997_full.jpg,0,1518,7346,4.84,18,7,27,97,1369,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dragon Crisis,https://www.crunchyroll.com/dragon-crisis,https://img1.ak.crunchyroll.com/i/spire1/2a4b1968412e2a3bb4bc081cba66d79c1293501286_full.jpg,0,1514,7126,4.71,6,14,63,252,1179,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inu X Boku Secret Service,https://www.crunchyroll.com/inu-x-boku-secret-service,https://img1.ak.crunchyroll.com/i/spire2/8e9deb3d532eb37c9d437ec63a8fe0901326138594_full.jpg,12,1473,6991,4.75,11,13,55,181,1213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Rising of the Shield Hero,https://www.crunchyroll.com/the-rising-of-the-shield-hero,https://img1.ak.crunchyroll.com/i/spire4/25627becf63b169d19af7efee6122e791555537428_full.jpg,25,1409,6647,4.72,36,29,41,85,1218,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asura Cryin',https://www.crunchyroll.com/asura-cryin,https://img1.ak.crunchyroll.com/i/spire3/80d9bd5768c9ab994feabf7f592fc29d1273791851_full.jpg,0,1406,6652,4.73,10,14,53,190,1139,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Usagi Drop,https://www.crunchyroll.com/usagi-drop,https://img1.ak.crunchyroll.com/i/spire3/5cbf0fdfe8d3c0aafca4732d2c1f3df71309282623_full.jpg,0,1402,6850,4.89,6,0,15,106,1275,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
07 Ghost,https://www.crunchyroll.com/07-ghost,https://img1.ak.crunchyroll.com/i/spire4/1d3f1855ba933617b4d6792d9d3154191300831088_full.jpg,0,1400,6688,4.78,9,14,27,180,1170,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No. 6,https://www.crunchyroll.com/no-6,https://img1.ak.crunchyroll.com/i/spire3/dca9bed9a499f3726c8d8b2739597cb11310169368_full.jpg,0,1374,6437,4.68,18,13,62,198,1083,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKET Dance,https://www.crunchyroll.com/sket-dance,https://img1.ak.crunchyroll.com/i/spire3/69265eb93a25ab7d8a9180eb18be87f91301520977_full.jpg,77,1364,6513,4.77,11,8,33,173,1139,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Otome Yokai Zakuro,https://www.crunchyroll.com/otome-yokai-zakuro,https://img1.ak.crunchyroll.com/i/spire3/386d1502f639bf789e6d3cdb81ec8efd1285798977_full.jpg,0,1326,6331,4.77,5,2,40,193,1086,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lilpri,https://www.crunchyroll.com/lilpri,https://img1.ak.crunchyroll.com/i/spire1/1d6757bf2a0ecd6009200ec8954986e21275429494_full.jpg,0,1323,6342,4.79,14,3,36,136,1134,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Squid Girl,https://www.crunchyroll.com/squid-girl,https://img1.ak.crunchyroll.com/i/spire3/cd29219a95ba07cf19a03065086d457d1285618435_full.jpg,26,1319,6223,4.72,10,11,43,213,1042,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Yokuwakaru Gendai Maho,https://www.crunchyroll.com/yokuwakaru-gendai-maho,https://img1.ak.crunchyroll.com/i/spire1/9ba846366ac278397026fc0dbd85ad241279145309_full.jpg,0,1288,5906,4.59,29,18,65,234,942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Bridge to the Starry Skies - Hoshizora e Kakaru Hashi,https://www.crunchyroll.com/a-bridge-to-the-starry-skies-hoshizora-e-kakaru-hashi,https://img1.ak.crunchyroll.com/i/spire1/81dd54fdff01b94c9d0db26cde9d345b1301615143_full.jpg,0,1282,6001,4.68,17,14,56,187,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Occult Academy,https://www.crunchyroll.com/occult-academy,https://img1.ak.crunchyroll.com/i/spire4/f04613ba958a842966e71eefa78902851277849939_full.jpg,0,1273,5833,4.58,10,13,69,315,866,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kaasan Mom's Life,https://www.crunchyroll.com/kaasan-moms-life,https://img1.ak.crunchyroll.com/i/spire1/6dc85bff282441835d9807ec70a88d5f1279147059_full.jpg,0,1201,5634,4.69,33,8,37,141,982,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Re:ZERO -Starting Life in Another World-,https://www.crunchyroll.com/rezero-starting-life-in-another-world-,https://img1.ak.crunchyroll.com/i/spire2/4ea073a64ebabedc9a2d2d690659c8c01579337678_full.jpg,63,1164,5302,4.55,44,34,60,120,906,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Piece,https://www.crunchyroll.com/one-piece,https://img1.ak.crunchyroll.com/i/spire4/8056a82e973dde98ebb82abd39dc69731564519729_full.jpg,1135,1142,5364,4.7,42,15,35,63,987,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A Dark Rabbit has Seven Lives,https://www.crunchyroll.com/a-dark-rabbit-has-seven-lives,https://img1.ak.crunchyroll.com/i/spire1/65d9ba376a2df8b74499550166ae1fa31310005744_full.jpg,0,1130,5224,4.62,24,25,49,157,875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
